frame,TrWisard1,TrWisard2
0,0.0000,0.0000
5,3.0395,5.2525
10,4.3043,5.2502
15,6.2752,5.3115
20,4.5822,0.9436
25,5.5251,4.5487
30,10.0009,6.4326
35,4.2500,4.5802
40,1.2484,2.4727
45,3.6643,6.8160
50,2.3032,7.1845
55,1.8460,1.8460
60,4.1560,6.8996
65,0.9822,7.3062
70,1.9124,6.4239
75,2.9058,6.7329
80,2.4988,6.6373
85,2.7082,8.4066
90,3.5230,2.3739
95,2.6128,2.5081
100,3.5350,1.4271
105,2.1013,1.6720
110,2.4551,2.4551
115,4.1733,3.6623
120,4.7685,2.5766
125,1.4087,3.8715
130,4.9323,1.8546
135,4.3183,2.8872
140,3.6956,0.7195
145,6.7612,4.4741
150,4.3411,3.2664
155,6.9414,5.4050
160,8.0970,6.1343
165,7.0723,8.0930
170,7.2113,11.4495
175,5.8691,10.9260
180,5.7080,12.9502
185,7.8568,11.3189
190,5.3591,11.0799
195,7.2460,6.8598
200,5.5955,8.5068
205,8.6478,10.4117
210,6.0557,5.9053
215,10.4420,5.3950
220,3.9877,3.3355
225,3.8079,3.9930
230,3.6861,4.7108
235,6.7950,11.3640
240,3.6123,5.4430
245,4.4534,6.0803
250,4.7813,5.3456
255,3.8832,5.5421
260,3.2914,5.0289
265,2.9540,4.0997
270,3.9509,2.8715
275,2.9757,2.1319
280,3.7807,6.4802
285,1.3143,7.1222
290,4.5042,2.3038
295,2.3913,2.3913
300,3.5512,5.3418
305,2.7318,5.5172
310,2.8441,4.5216
315,2.0306,2.2951
320,3.7807,6.4201
325,1.3740,3.4923
330,3.0029,1.8280
335,3.8117,6.1284
340,4.1096,2.8090
345,4.0131,5.1177
350,3.2288,2.1737
355,5.7993,4.8606
360,5.5847,6.1434
365,2.6904,7.5048
370,2.5745,6.6924
375,4.2563,4.1110
380,3.2271,12.2107
385,4.0336,13.6901
390,4.5295,19.9600
395,0.0548,2.0511
400,3.0728,8.1487
405,2.0073,13.8936
410,6.2488,11.0406
415,5.0902,16.7669
420,3.7964,6.0153
425,1.9273,6.9271
430,2.3658,10.3721
435,3.2354,16.6231
440,3.5151,26.3894
445,2.5502,6.3806
450,5.3713,5.7116
455,3.6997,5.3261
460,2.4452,1.5617
