frame,TrWisard1,TrWisard2
0,100.0000,100.0000
5,90.3647,84.0813
10,87.1569,84.8867
15,82.5309,84.7433
20,86.4129,96.8858
25,85.6383,87.6402
30,75.3030,80.9026
35,86.8737,87.9883
40,97.3825,92.9403
45,89.7339,82.3379
50,94.0740,80.3614
55,95.7609,95.7609
60,87.2973,79.6911
65,96.8951,79.5007
70,93.9347,82.7876
75,91.4691,80.2425
80,92.0876,81.8087
85,91.8183,81.1961
90,88.9860,93.1932
95,92.5009,93.9748
100,89.9509,95.9574
105,93.4032,95.8861
110,92.1892,92.1892
115,89.1761,88.6126
120,85.6395,91.7755
125,95.5244,89.9956
130,84.9853,94.1099
135,88.6666,90.8204
140,90.2588,97.7684
145,83.2635,87.1604
150,86.6620,91.3000
155,80.4196,87.3215
160,83.8588,84.9331
165,86.0272,78.0635
170,81.2497,69.2773
175,83.7964,70.0842
180,83.5814,66.6766
185,77.5890,72.7686
190,83.9670,69.7098
195,82.0796,81.9602
200,87.2987,76.7967
205,81.1510,73.8559
210,82.9692,83.6053
215,78.7389,89.4398
220,90.5602,90.7731
225,88.2949,87.7429
230,88.5432,85.7316
235,82.5752,78.2863
240,88.7167,88.6501
245,86.2946,83.4237
250,85.4569,83.7973
255,88.1118,85.2111
260,89.8458,86.4735
265,92.1509,87.3485
270,90.2617,91.0280
275,93.0448,94.4552
280,91.8766,80.7646
285,95.7990,80.1825
290,86.1413,92.6029
295,92.6053,92.6053
300,89.4523,85.9147
305,91.3499,83.8417
310,91.0739,87.4760
315,94.6324,93.3138
320,88.3694,81.1651
325,95.5097,89.3537
330,91.8965,96.2754
335,90.4511,82.0859
340,87.4534,91.5878
345,91.9838,87.8456
350,91.4680,93.6174
355,85.2285,86.9701
360,83.1776,81.6724
365,91.7106,78.8585
370,92.6690,81.7252
375,88.4480,90.5094
380,90.0469,71.4636
385,88.8824,64.7768
390,90.4900,53.2434
395,99.8417,95.8086
400,93.5494,82.3139
405,94.1685,67.8231
410,81.3692,73.3947
415,86.2099,58.2210
420,90.1032,84.3447
425,93.7542,79.6027
430,93.4371,77.4014
435,90.2633,58.5300
440,89.0693,42.9105
445,92.0030,83.4044
450,83.7800,86.7666
455,88.4904,83.9884
460,94.2693,95.4692
