frame,Tr-WiSARD1,Tr-WiSARD2
0,0.0000,0.0000
5,1.4704,2.0352
10,1.0734,2.0352
15,2.0352,2.0352
20,1.4704,2.0352
25,1.0734,2.0352
30,2.0352,2.0352
35,1.4704,2.0352
40,1.0734,2.0352
45,2.6781,2.0352
50,1.5304,2.0352
55,2.0886,2.0352
60,1.1628,2.0352
65,1.5304,2.0352
70,1.0734,2.0352
75,1.1628,2.0352
80,1.5304,2.0352
85,2.0886,2.0352
90,1.1628,2.0352
95,1.5304,2.0352
100,1.0734,2.0352
105,1.1628,2.0352
110,1.8474,4.6511
115,2.1309,4.6511
120,3.1095,4.6511
125,11.3091,3.5003
130,5.6592,3.4949
135,5.4040,3.8319
140,6.4792,3.8319
145,4.8303,3.8319
150,8.9180,3.8319
155,6.5074,0.7852
160,4.3834,0.7852
165,5.3647,0.7852
170,3.6944,5.6698
175,2.4094,4.8571
180,5.9051,4.3731
185,6.4047,2.8163
190,7.1642,5.2452
195,7.2275,3.0283
200,6.4782,2.6763
205,6.6148,1.0527
210,8.0134,1.0527
215,5.2248,1.0527
220,6.6148,1.0527
225,8.0134,1.0527
230,7.9103,1.0527
235,9.2600,2.5247
240,6.8608,1.7303
245,10.5836,1.5850
250,6.2034,5.1051
255,7.5933,5.1051
260,7.0626,0.9674
265,7.0300,3.0047
270,6.3980,2.5594
275,5.3117,3.2499
280,6.7406,1.8042
285,7.7390,4.7239
290,5.1171,1.1336
295,12.6819,7.8069
300,8.4149,2.0344
305,6.1165,8.0220
310,7.0987,1.4170
315,7.2363,0.3586
320,5.4291,0.2022
325,6.2767,0.4324
