frame,Tr-WiSARD1,Tr-WiSARD2
0,100.0000,100.0000
5,95.3014,94.4716
10,96.5886,94.4716
15,94.4716,94.4716
20,95.3014,94.4716
25,96.5886,94.4716
30,94.4716,94.4716
35,95.3014,94.4716
40,96.5886,94.4716
45,90.4800,94.4716
50,95.3014,94.4716
55,76.4651,94.4716
60,90.4800,94.4716
65,81.6805,94.4716
70,85.9478,94.4716
75,82.1734,94.4716
80,81.6805,94.4716
85,85.9478,94.4716
90,90.4800,94.4716
95,81.6805,94.4716
100,85.9478,94.4716
105,77.6567,94.4716
110,91.2013,84.6034
115,90.4329,84.6034
120,94.8043,84.6034
125,94.5689,92.5077
130,92.3243,92.8831
135,98.0640,87.2585
140,96.7552,87.2585
145,91.8591,87.2585
150,87.2585,87.2585
155,95.7969,97.0571
160,93.7491,97.0571
165,97.0571,97.0571
170,89.0240,82.6116
175,84.6620,83.7426
180,90.7312,85.1208
185,91.7968,90.0152
190,93.7427,85.5575
195,92.1029,91.6272
200,88.0452,91.6499
205,96.3474,96.3474
210,88.6163,96.3474
215,89.6694,96.3474
220,96.3474,96.3474
225,88.6163,96.3474
230,89.6694,96.3474
235,88.7321,91.9663
240,98.7930,93.7671
245,93.3073,94.7230
250,96.6428,82.8163
255,96.6015,82.8163
260,98.2218,96.8387
265,97.9100,89.6176
270,97.6601,91.1225
275,91.7023,89.4967
280,97.5949,93.4798
285,94.0365,84.8177
290,89.3067,95.9506
295,80.2757,77.6615
300,88.0339,92.6890
305,82.6716,75.6489
310,87.2793,96.0385
315,91.6196,98.9528
320,94.9135,99.3001
325,89.3157,98.3866
