frame,TrWisard1,TrWisard2
0,0.0000,0.0000
5,1.3102,1.3102
10,1.6495,4.0646
15,4.1336,1.0424
20,2.2396,2.2396
25,0.7196,0.7196
30,0.4877,0.4877
35,0.6136,0.6136
40,4.8884,2.9541
45,2.9473,2.9473
50,3.1527,3.1527
55,3.3064,3.3064
60,5.5586,5.5586
65,1.4315,1.4315
70,2.7608,2.7608
75,3.5180,3.5180
80,4.2073,3.3468
85,7.3728,6.3568
90,4.6337,4.6337
95,6.4032,6.4032
100,6.2725,6.2725
105,7.8148,3.3573
110,8.4575,8.4575
115,7.6138,4.3543
120,9.3632,7.5067
125,7.7503,1.9743
130,4.2796,4.2796
135,2.4174,2.4174
140,1.1057,1.1057
145,4.9587,4.9587
150,3.0543,3.0543
155,4.5442,4.5442
160,5.2666,5.2666
165,4.9719,4.9719
170,3.2193,3.2193
175,1.6359,1.6359
180,7.9653,2.9642
185,5.9775,1.9724
190,5.7294,0.9931
195,0.9931,0.9931
200,3.9732,3.9732
205,5.1060,5.1060
210,2.1987,3.8124
215,3.3415,3.3415
220,4.3953,4.3953
225,3.0814,2.2416
230,2.6314,2.6314
235,0.3286,0.3286
240,3.6851,1.3191
245,1.4795,1.4795
250,3.4458,1.6351
255,6.2728,0.8534
260,5.8585,0.9068
265,7.0269,2.7708
270,5.0228,5.0228
275,5.1115,5.1115
280,3.4557,3.4557
285,3.8112,3.8112
290,5.4905,7.8400
295,5.9254,5.9254
300,5.9254,2.3601
305,2.6390,2.6390
310,2.8947,2.8947
315,5.4581,5.4581
320,4.4503,4.4503
325,4.6504,4.6504
330,2.9445,2.9445
335,3.5747,3.5747
340,1.0321,1.0321
345,4.9925,4.9925
350,10.4663,10.4663
355,10.9140,10.9140
360,10.4278,10.4278
365,6.7959,6.7959
370,5.7050,10.2668
375,2.5525,7.5084
380,5.0861,5.0861
385,2.6723,7.6381
390,6.0210,6.0210
395,2.9866,7.8390
400,2.1816,6.0315
405,2.9945,2.9945
410,3.6483,3.6483
415,5.9678,3.7115
420,5.0450,5.0450
425,6.7376,3.7516
430,6.0506,3.7040
435,6.0506,3.7040
440,5.4087,3.8450
445,1.4141,1.4141
450,2.2417,2.2417
455,4.8769,4.8769
460,4.0159,5.4495
465,4.0257,4.6547
470,6.0513,3.0029
475,5.8231,3.7971
480,2.1189,2.1189
485,4.0347,4.0347
490,2.2210,2.2210
495,3.0029,3.0029
500,2.6064,2.6064
505,3.8439,3.8439
510,4.2570,5.4865
515,4.4647,4.4647
520,10.4673,10.4673
525,10.7717,10.7717
530,15.6620,16.1337
535,11.6002,12.8998
540,9.1755,14.1665
545,6.7448,11.7300
550,4.3343,9.3052
555,8.4976,8.4976
560,6.8841,6.8841
565,7.5653,7.5653
570,6.8316,6.8316
575,5.5181,5.5181
580,9.2464,5.8460
585,4.2538,3.3143
590,3.5025,4.0209
595,3.2185,3.2185
600,2.3982,2.3982
605,5.3355,3.5969
610,5.8945,1.1896
615,3.3291,3.3291
620,3.5613,3.5613
625,3.0666,3.0666
630,0.7185,0.7185
635,1.4079,1.4079
640,2.3134,2.3134
645,3.2391,3.2391
650,2.3134,2.3134
655,2.3134,2.3134
660,2.2156,2.2156
665,3.0975,3.0975
670,3.3845,3.3845
675,0.7552,0.7552
680,2.7078,2.7078
685,7.4207,2.5567
690,6.1352,6.1352
695,8.1362,8.1362
700,12.1477,11.1421
705,14.4036,9.3939
710,9.5390,10.4724
715,10.9315,13.4271
720,11.1907,12.6791
725,8.6693,13.3834
730,11.1870,15.1806
735,9.1118,9.1118
740,18.1490,18.1490
745,13.5706,18.2762
750,7.7075,12.6730
755,11.8709,13.3428
760,7.8470,7.8470
765,9.3854,10.4344
770,6.0817,5.7024
775,6.8025,6.4656
780,7.0656,7.0656
785,6.9517,6.9517
790,7.0656,7.0656
795,3.9252,3.9252
800,4.3979,9.0918
805,5.2446,5.2446
810,6.8294,6.8294
815,7.4539,7.4539
820,2.8973,7.8863
825,7.3288,7.3288
830,10.2824,7.6562
835,6.4749,6.4749
840,3.8951,3.8951
845,3.4751,3.4751
850,4.4810,4.4810
855,5.6634,5.6634
860,6.6390,6.6390
865,5.0138,5.0138
870,6.1442,6.1442
875,8.5209,6.5472
880,6.7203,7.0450
885,3.8485,3.8485
