frame,TrWisard1,TrWisard2
0,100.0000,100.0000
5,97.5174,97.5174
10,96.4888,92.0371
15,92.5261,97.7587
20,96.4299,96.4299
25,98.4481,98.4481
30,98.9511,98.9511
35,98.6605,98.6605
40,90.1314,95.1606
45,95.9780,95.9780
50,94.2417,94.2417
55,93.7450,93.7450
60,88.9567,88.9567
65,96.9756,96.9756
70,94.3231,94.3231
75,93.0234,93.0234
80,91.2523,93.2841
85,85.3218,88.4791
90,91.1922,91.1922
95,87.5579,87.5579
100,87.7671,87.7671
105,85.3597,92.9481
110,83.5243,83.5243
115,86.2912,91.3200
120,81.7239,87.1726
125,84.6757,95.7895
130,91.0992,91.0992
135,95.5581,95.5581
140,98.4303,98.4303
145,89.7943,89.7943
150,95.7578,95.7578
155,90.6851,90.6851
160,89.4430,89.4430
165,90.4416,90.4416
170,93.2347,93.2347
175,96.6369,96.6369
180,85.8902,93.8814
185,89.7067,95.9711
190,91.4065,97.8508
195,97.8508,97.8508
200,91.9898,91.9898
205,89.4900,89.4900
210,95.3388,92.2328
215,94.4735,94.4735
220,91.6639,91.6639
225,94.5929,95.7500
230,94.5075,94.5075
235,99.4140,99.4140
240,94.9338,98.0624
245,96.9354,96.9354
250,93.7456,96.7603
255,87.4353,98.1882
260,90.0262,98.1226
265,86.6067,94.3026
270,91.1361,91.1361
275,90.1776,90.1776
280,92.9340,92.9340
285,92.3237,92.3237
290,90.2692,84.5395
295,88.3001,88.3001
300,88.3001,96.1333
305,94.8188,94.8188
310,94.8753,94.8753
315,90.7679,90.7679
320,90.8356,90.8356
325,91.9837,91.9837
330,94.4098,94.4098
335,93.7086,93.7086
340,97.9435,97.9435
345,90.3692,90.3692
350,83.1775,83.1775
355,80.2537,80.2537
360,80.5068,80.5068
365,86.9360,86.9360
370,88.3863,81.1865
375,95.0626,87.2231
380,90.9575,90.9575
385,94.9113,87.0810
390,89.5513,89.5513
395,93.8969,86.1786
400,96.5605,87.8931
405,93.7210,93.7210
410,92.6640,92.6640
415,88.1576,93.4283
420,89.7951,89.7951
425,87.0514,93.0371
430,88.0344,93.5587
435,88.0344,93.5587
440,89.0267,92.5184
445,97.0081,97.0081
450,95.2840,95.2840
455,90.3330,90.3330
460,94.1012,89.9851
465,93.9481,91.2465
470,89.3704,94.2174
475,90.5829,92.9138
480,96.2173,96.2173
485,91.8808,91.8808
490,95.5388,95.5388
495,94.2174,94.2174
500,94.4623,94.4623
505,92.3432,92.3432
510,92.5534,88.9012
515,91.8389,91.8389
520,80.0972,80.0972
525,79.4140,79.4140
530,75.3359,72.6449
535,81.1521,76.2312
540,84.6390,77.6047
545,88.2780,80.9692
550,92.0476,84.4491
555,85.6390,85.6390
560,88.0654,88.0654
565,85.2287,85.2287
570,86.4224,86.4224
575,89.2681,89.2681
580,82.6615,88.2856
585,91.2931,93.0482
590,93.4632,91.7700
595,95.3415,95.3415
600,94.8874,94.8874
605,89.2428,93.0118
610,88.0349,97.5010
615,93.0382,93.0382
620,92.5339,92.5339
625,93.5840,93.5840
630,98.6941,98.6941
635,97.4081,97.4081
640,95.3798,95.3798
645,93.2438,93.2438
650,95.3798,95.3798
655,95.3798,95.3798
660,96.0567,96.0567
665,94.0606,94.0606
670,93.0087,93.0087
675,98.5248,98.5248
680,94.7106,94.7106
685,86.9503,94.7429
690,87.5465,87.5465
695,84.0262,84.0262
700,77.6164,82.3119
705,74.2539,82.2492
710,84.1578,80.2590
715,79.9574,75.0438
720,81.3956,76.4415
725,83.3325,76.5286
730,78.7501,72.4607
735,85.1548,85.1548
740,69.4113,69.4113
745,75.4186,69.2529
750,86.3759,79.2337
755,80.3017,75.4367
760,86.1199,86.1199
765,84.5907,80.2361
770,87.7720,88.8077
775,86.5721,87.5870
780,87.2100,87.2100
785,88.2859,88.2859
790,87.2100,87.2100
795,92.1958,92.1958
800,90.9623,83.5210
805,89.5054,89.5054
810,87.0521,87.0521
815,85.4761,85.4761
820,94.7537,86.9249
825,86.7663,86.7663
830,80.2680,85.6361
835,87.0722,87.0722
840,94.7553,94.7553
845,93.2513,93.2513
850,90.7313,90.7313
855,88.4709,88.4709
860,87.2147,87.2147
865,89.8705,89.8705
870,88.5860,88.5860
875,83.2046,88.7938
880,87.1871,86.1790
885,91.9593,91.9593
