frame,TrWisard1,TrWisard2
0,0.0000,0.0000
5,21.0577,15.7816
10,14.3001,13.5681
15,14.4318,12.2302
20,12.5381,12.2460
25,16.2294,16.8074
30,14.3188,18.7697
35,15.1767,18.1126
40,14.1696,16.8195
45,12.4371,17.0515
50,10.8827,15.3599
55,10.0419,13.0304
60,8.9285,13.4006
65,2.8670,7.0617
70,3.9702,7.7894
75,8.1383,15.1879
80,8.1710,13.0705
85,7.4563,15.3568
90,7.1672,14.2295
95,6.1560,11.3638
100,8.4766,15.4361
105,6.7906,13.9215
110,7.1123,11.3482
115,6.0150,13.9278
120,8.1665,11.0104
125,5.3215,10.9774
130,5.8050,11.3391
135,5.3215,10.9774
140,6.0744,10.2916
145,8.5717,10.2470
150,11.4801,10.9174
155,10.0263,10.5284
160,8.0527,12.2128
165,8.5058,12.2128
170,8.0527,12.2128
175,9.4599,13.0525
180,6.9495,8.8958
185,7.4065,8.8958
190,7.3888,9.2431
195,8.0702,9.6160
200,6.7799,9.6160
205,8.0702,9.6160
210,6.9585,10.0010
215,7.6046,12.7369
220,8.4870,12.9980
225,8.2962,11.3407
230,8.6364,10.4628
235,7.7391,11.0300
240,8.6141,10.1977
245,7.0292,11.2942
250,7.5347,11.5114
255,7.3001,11.8426
260,3.8230,9.9422
265,4.9947,10.3657
270,5.8172,12.8859
275,4.9947,10.3657
280,6.0332,9.9422
285,4.8484,9.9422
290,4.1443,11.8426
295,6.6804,8.1968
300,10.2235,14.2879
305,9.1266,12.5990
310,7.7261,11.9200
315,10.5988,16.2217
320,10.3847,13.8599
325,12.4244,16.4811
330,16.8935,18.6835
335,21.5735,26.4338
340,23.9049,27.4294
345,17.8259,23.8637
350,16.7131,24.1566
355,15.2151,21.4184
360,16.5860,21.9876
365,4.9667,8.4119
370,7.5735,9.2757
375,7.4169,12.9816
380,22.3498,22.3498
385,4.0257,2.6416
390,23.0287,23.0287
395,19.6982,17.9496
400,11.3726,8.6707
405,15.8193,12.3867
410,16.1672,11.9741
415,24.8993,22.6064
420,25.0805,18.0666
425,21.5828,17.4313
430,18.3913,12.7752
435,16.8622,11.2499
440,19.5902,10.7716
445,21.8428,13.6158
450,24.4165,17.4140
455,22.6067,16.9513
460,24.5232,18.7956
465,23.4517,25.9666
470,23.5614,25.9666
475,24.9679,25.9666
480,29.1380,28.5374
485,31.6899,31.0240
490,33.1666,32.4225
495,33.1064,32.4225
500,28.1370,27.3474
505,24.2191,23.4076
510,21.7127,11.4974
515,17.3358,7.8949
520,14.0502,5.9980
525,10.8336,2.4272
530,13.4646,5.6450
535,12.7157,9.2484
540,12.5007,8.0409
545,11.5490,6.5608
550,12.2593,6.3606
555,10.0794,9.2205
560,13.3737,14.7537
565,14.5743,14.0588
570,21.4178,17.8368
575,18.6389,13.3965
580,2.2100,4.1236
585,2.6756,3.9058
590,7.1167,4.3067
595,9.5128,8.8916
600,8.9106,7.3393
605,10.4368,9.2813
610,9.5455,9.0566
615,11.1646,4.7775
620,9.4382,7.4774
625,9.4590,8.8839
630,8.4264,9.0911
635,8.7397,9.0637
640,4.8895,5.8315
645,10.0274,3.9468
650,10.1654,5.3016
655,10.1202,6.0168
660,10.7941,4.9632
665,11.6585,8.4935
670,12.1521,5.1090
675,11.4411,4.7150
680,10.6170,3.8963
685,9.5161,4.0552
690,10.2940,4.3146
695,8.9719,4.3146
700,8.5350,4.3146
705,11.3506,6.1778
710,12.7399,6.1778
715,11.3506,6.1778
720,11.1573,6.1778
725,9.7476,6.1778
730,8.5350,4.3146
735,7.9404,3.8092
740,8.1043,3.8092
745,7.9404,3.8092
750,9.6859,4.3024
755,7.5955,3.4438
760,7.1288,0.7068
765,7.8204,4.3450
770,10.6791,2.3315
775,10.2113,1.3198
780,9.5495,2.2418
785,10.8710,2.2418
790,11.1262,2.8388
795,9.2404,5.1316
800,9.5937,4.6680
805,10.4794,4.0280
810,10.1536,3.3476
815,8.7655,3.3476
