frame,TrWisard1,TrWisard2
0,100.0000,100.0000
5,66.5840,68.4431
10,75.4328,77.1961
15,69.8483,71.9868
20,78.0106,80.1744
25,62.3626,64.1666
30,66.2356,68.4994
35,60.0025,62.3181
40,61.9741,64.2572
45,61.5245,70.8438
50,64.2547,66.4436
55,68.4890,70.8279
60,67.8577,78.0206
65,90.3370,85.7360
70,87.2324,82.5186
75,78.5511,74.2428
80,76.5341,78.2813
85,71.6846,81.4153
90,74.3431,76.0173
95,79.7705,81.8985
100,71.5306,73.4020
105,74.5067,84.5366
110,80.1936,81.9824
115,74.4382,84.5739
120,81.0716,82.8381
125,80.8503,82.6922
130,79.9704,81.8338
135,80.8503,82.6922
140,74.2039,84.4334
145,75.4880,85.5850
150,69.3774,83.5991
155,70.8446,81.9057
160,72.9449,80.7128
165,72.9449,80.7128
170,72.9449,80.7128
175,71.7418,79.3227
180,78.6472,80.1338
185,78.6472,80.1338
190,77.9986,86.5204
195,83.6401,85.6140
200,77.1730,85.6140
205,77.1730,85.6140
210,76.3549,84.7163
215,79.6732,81.0594
220,77.9749,79.4812
225,81.8481,83.3815
230,83.2236,84.8619
235,81.4596,83.1458
240,82.3546,84.3005
245,74.6137,83.0021
250,73.8110,83.4843
255,80.0805,81.6772
260,80.0805,78.8959
265,80.0805,71.2736
270,80.0805,71.2736
275,80.0805,78.8959
280,80.0805,78.8959
285,80.0805,78.8959
290,80.0805,78.8959
295,86.2673,88.9433
300,73.8007,75.8698
305,72.2383,81.5749
310,71.3922,81.1035
315,70.1322,71.9156
320,69.4484,71.1888
325,87.2862,81.7770
330,73.3404,69.2707
335,72.4269,63.5778
340,70.0959,61.3714
345,85.2630,66.3419
350,84.5507,71.5887
355,90.9621,76.6693
360,90.0836,76.2736
365,81.3913,62.5682
370,74.2702,58.4190
375,73.4079,68.0061
380,53.2644,49.7855
385,92.1737,78.5606
390,64.7563,55.8367
395,67.5851,61.0089
400,85.6932,74.0603
405,78.8053,67.6704
410,66.9083,55.8689
415,55.4039,52.7996
420,55.6017,52.9070
425,62.9398,59.4393
430,70.9657,66.6174
435,74.3855,69.3830
440,62.5789,64.9729
445,65.1768,61.3006
450,58.7979,55.4136
455,59.4256,60.7529
460,56.3883,57.6060
465,55.9475,57.1288
470,55.9475,57.1288
475,54.2246,57.1288
480,50.9071,53.3489
485,47.8055,50.0936
490,46.2325,48.3664
495,46.2325,48.3664
500,52.9346,55.0403
505,64.7348,60.7498
510,62.9362,70.0484
515,70.4414,63.1424
520,95.4621,72.5083
525,94.0299,71.7399
530,79.0282,66.6968
535,71.9818,61.0767
540,74.1270,62.7782
545,83.9222,76.9391
550,77.8862,74.9169
555,85.6088,72.9407
560,90.1151,71.6851
565,77.6584,84.2323
570,72.5241,70.4693
575,78.6032,78.5092
580,66.0321,91.5491
585,68.4683,86.1365
590,68.4139,80.6494
595,84.6363,87.3742
600,78.2191,80.3828
605,74.3656,84.4825
610,84.3695,93.8357
615,76.9936,87.6367
620,85.5496,87.4835
625,86.0080,87.7830
630,88.6484,87.1163
635,81.1285,86.9616
640,77.9036,92.3622
645,72.4718,82.5847
650,79.7011,82.2880
655,77.0854,83.3345
660,78.5481,80.4605
665,72.6036,88.5790
670,70.2213,86.5803
675,79.1792,79.7818
680,81.3236,83.4104
685,80.6721,82.7040
690,80.9801,84.6483
695,80.9801,84.6483
700,80.9801,84.6483
705,50.0022,77.8982
710,50.0022,77.8982
715,50.0022,77.8982
720,50.0022,77.8982
725,50.0022,77.8982
730,50.0022,84.6483
735,85.5615,85.5615
740,46.4568,85.5615
745,46.4568,85.5615
750,78.8663,87.7622
755,80.6120,82.4510
760,89.3361,92.1738
765,80.3728,85.6628
770,77.1834,87.7477
775,87.4015,89.3052
780,89.5742,86.5272
785,89.5742,86.5272
790,86.1730,86.9793
795,85.2350,80.0359
800,84.0748,88.1085
805,82.2596,90.0140
810,78.7002,93.9829
815,85.2937,93.9829
