frame,TrWisard1,TrWisard2
0,0.0000,0.0000
5,6.2559,5.8340
10,4.9445,6.6297
15,4.2260,5.6314
20,3.8342,2.8462
25,4.3290,0.7877
30,4.9351,2.8034
35,5.1115,7.1286
40,4.4978,9.6274
45,5.2060,8.8149
50,6.9223,7.6992
55,3.9217,6.7961
60,2.6343,5.9707
65,2.2399,6.5700
70,0.6988,5.5466
75,4.3129,5.0956
80,1.8982,8.2778
85,2.0265,3.8759
90,2.3295,8.1423
95,4.6022,4.4475
100,8.7945,8.1063
105,6.6873,9.5779
110,3.8130,7.5435
115,4.2866,1.9066
120,2.4145,5.8263
125,0.4911,5.7499
130,2.1951,8.4223
135,3.2355,4.3091
140,1.7507,5.9675
145,2.0216,6.9298
150,1.9093,7.3414
155,0.4508,3.1590
160,3.5629,4.0554
165,4.2572,6.7248
170,5.5551,4.3285
175,4.6799,6.3907
180,1.3477,7.7985
185,2.9756,7.5083
190,4.0484,6.1351
195,3.3516,6.2831
200,1.5492,8.7480
205,1.4063,3.6983
210,3.4271,9.8891
215,4.0945,8.6592
220,6.6194,9.5090
225,5.1039,11.1940
230,5.4776,11.3746
235,4.7891,9.6784
240,3.4920,8.4265
245,3.0274,8.6622
250,1.8836,8.2980
255,1.8096,9.8368
260,3.8126,9.7609
265,6.1620,11.5532
270,7.4243,16.6235
275,4.7440,15.6596
280,2.2906,11.1800
285,4.9304,7.1140
290,4.1176,6.2754
295,4.0205,8.6997
300,3.0824,6.1801
305,6.7232,2.4708
310,4.8725,3.8123
315,1.8358,3.7547
320,2.3236,3.9979
325,0.9961,4.8650
330,1.2226,9.2852
335,3.4925,9.4951
340,4.3484,9.4272
345,3.7333,8.9113
350,5.8584,6.9422
355,3.9654,7.1894
360,5.4456,8.2431
365,8.0612,9.9294
370,8.2449,10.3444
375,9.1598,11.0746
380,7.9802,12.8753
385,5.4575,9.3525
390,6.5914,10.9926
395,6.1602,15.4410
400,5.9438,12.7427
405,5.6967,11.5511
410,0.9277,10.9252
415,1.3399,1.3399
420,1.9095,1.3661
425,1.7698,4.6489
430,1.7101,2.0843
435,5.3208,1.9389
440,5.9613,2.8801
445,8.7884,4.6075
450,8.7218,4.6620
455,8.2608,4.5185
460,7.4988,2.3426
465,10.1168,6.3351
470,11.1339,9.4384
475,9.1354,6.9233
480,9.0788,7.8691
485,9.0335,7.6695
490,7.2248,0.7254
495,1.3450,1.6471
500,2.6660,2.6615
505,5.4810,6.2414
510,4.9013,6.8017
515,8.2543,6.7078
520,9.2211,7.2518
525,7.0352,9.1282
530,5.6505,9.6009
535,16.8156,16.4221
540,12.5933,19.9357
545,16.1251,9.6340
550,13.2546,8.3561
555,11.4988,16.0433
560,11.2915,10.3646
565,7.7611,8.9570
570,5.8373,6.6370
575,6.0845,13.7837
580,6.2489,12.8924
585,6.5179,14.2914
590,7.3948,6.3663
595,5.4599,10.3999
600,4.7441,13.9092
605,7.8600,1.7263
610,9.5381,6.5981
615,10.4648,5.4766
620,8.4612,7.9048
625,7.4912,4.7002
630,13.7017,5.5161
635,17.7611,5.9773
640,12.7704,4.7070
645,13.9866,11.3449
650,14.5522,6.1771
655,15.8422,13.2996
660,7.3214,12.0393
665,8.0852,16.1541
670,9.3724,7.1997
675,8.7368,10.3340
680,9.4272,20.8268
685,3.9248,7.9510
690,6.4668,8.9073
695,5.7483,8.3942
700,3.2429,10.8523
705,2.6168,6.6929
710,3.9236,8.1745
715,3.2975,9.6798
720,4.7231,9.6708
725,3.5511,9.6211
730,5.1441,8.5324
735,4.5581,8.8234
740,4.4384,7.7586
745,3.4205,8.4411
750,1.1316,9.6446
755,1.9400,5.7518
760,5.4302,10.8392
765,5.2281,9.3039
770,3.0133,11.4541
775,5.5513,11.4624
780,4.5766,10.3138
785,4.2875,7.9903
790,9.8454,8.9273
795,4.8150,3.9770
800,6.2099,15.2101
805,12.5886,15.1415
810,15.1780,17.5000
815,5.3107,12.0035
820,3.9994,7.1616
825,3.3469,11.8872
830,7.6529,9.5995
835,4.4721,10.2956
840,6.9011,2.6163
845,9.6395,3.6959
850,11.6837,1.1333
855,14.7937,5.5957
860,16.2539,10.7917
865,14.5981,11.4380
870,11.4634,15.1248
875,14.9944,10.9056
