frame,TrWisard1,TrWisard2
0,100.0000,100.0000
5,74.8700,74.6656
10,79.3783,70.8464
15,76.6102,73.7569
20,81.0828,88.0121
25,89.2882,96.5171
30,82.3460,85.7666
35,78.6618,69.2163
40,70.0110,61.7500
45,75.4684,63.8274
50,79.9837,69.6353
55,82.4292,69.3953
60,93.7425,72.6440
65,84.9125,70.4389
70,86.3208,74.4669
75,90.7633,80.7052
80,87.7849,68.3936
85,83.1350,82.9555
90,78.4260,65.0331
95,80.3383,83.0776
100,67.2657,66.4909
105,74.9659,59.9689
110,81.2792,66.8032
115,86.6250,91.9641
120,82.1157,78.7439
125,86.5494,73.4524
130,82.1374,65.2666
135,92.1698,79.0654
140,92.3493,73.4745
145,96.4888,69.9139
150,90.2771,67.3565
155,88.6105,84.4237
160,96.0273,81.1959
165,75.0350,69.7059
170,87.3848,81.8890
175,90.7974,74.6466
180,85.7055,65.9998
185,81.4992,67.2131
190,71.5969,73.7211
195,83.4728,71.2391
200,82.1124,62.6676
205,85.4706,84.4694
210,80.7224,59.3622
215,80.7465,63.8446
220,83.6754,63.3672
225,65.1926,63.3761
230,70.2856,59.4127
235,73.1054,66.5181
240,74.2159,64.1763
245,67.9702,69.2765
250,74.6383,64.2622
255,91.6402,60.2808
260,92.5716,62.8452
265,78.6459,57.6488
270,77.3985,46.3686
275,87.8437,44.7294
280,92.8233,57.7210
285,82.8520,71.1755
290,70.9773,71.3796
295,63.9875,62.7580
300,84.4815,71.8762
305,91.0478,87.4138
310,87.6300,81.2099
315,95.2864,82.9420
320,84.6083,81.3677
325,93.7718,77.2128
330,92.6797,60.9829
335,87.2633,61.0114
340,85.1308,60.4995
345,84.6260,62.8437
350,76.6904,71.7191
355,74.8671,68.5513
360,77.3848,70.7018
365,71.7527,64.4759
370,78.5953,60.8545
375,56.9810,57.1892
380,63.9663,51.0482
385,67.5844,61.7418
390,60.1642,57.8345
395,59.4984,44.4457
400,74.9231,51.5845
405,81.0514,54.1849
410,86.5157,56.6092
415,93.0059,92.9759
420,93.4991,92.7650
425,92.4335,79.1538
