frame,TrWisard1,TrWisard2
0,100.0000,100.0000
5,74.1316,79.1801
10,76.4866,85.7236
15,83.6405,77.4012
20,94.8812,94.8812
25,94.8555,91.9142
30,76.0563,54.5889
35,85.1130,93.5681
40,88.3547,91.4478
45,74.3927,74.3927
50,89.1704,74.4083
55,82.3004,78.2259
60,88.7557,82.5854
65,74.2925,95.8582
70,67.9741,78.4348
75,50.0333,85.7341
80,54.2701,55.1354
85,70.2376,28.0910
90,47.3469,31.0394
95,69.7259,37.9820
100,53.7150,53.7382
105,82.1259,66.2530
110,99.4490,86.4694
115,96.5118,75.9349
120,86.4345,56.2715
125,59.4888,87.1345
130,88.2384,62.5147
135,47.8262,39.9807
140,52.3781,81.3343
145,76.0733,87.1483
150,44.8865,18.2283
155,27.3927,75.2102
160,57.0140,79.6088
165,53.7780,55.4495
170,68.1625,55.2825
175,69.3939,69.5050
180,46.9765,82.1415
185,73.5795,84.2853
190,82.1637,95.9860
195,97.4445,0.0000
200,84.3942,76.6807
205,83.8631,69.8781
210,89.5164,89.1197
215,62.7348,57.4871
220,68.6251,81.0991
225,65.1548,49.1634
230,92.0597,98.3430
235,90.6355,67.7231
240,90.5384,91.2993
245,87.7986,8.6123
250,69.9030,80.9813
255,69.7927,84.9052
260,64.8753,82.8991
265,86.1945,82.7454
270,79.9848,88.9912
275,67.1487,94.8145
280,71.5183,87.6819
285,80.3709,90.9870
290,83.0862,94.2221
295,91.6138,83.7394
300,52.3002,31.6620
305,34.3503,90.1448
310,63.7547,52.7924
315,66.1260,0.0000
320,11.0782,92.9417
325,85.9827,58.7619
330,86.9913,87.4768
335,91.1696,90.8837
340,57.7472,74.9974
345,46.4756,7.9666
350,48.9689,18.5974
