frame,TrWisard1,TrWisard2
0,0.0000,0.0000
5,4.8917,3.4841
10,2.5610,3.5073
15,1.0133,4.7460
20,1.5768,6.7435
25,2.8018,5.3078
30,2.2624,3.8208
35,3.5219,5.4758
40,12.6464,15.5728
45,5.7925,5.2833
50,5.9800,4.6789
55,3.7850,5.6669
60,5.5069,5.5069
65,3.2096,4.6799
70,3.2777,6.3554
75,5.5938,5.5210
80,1.7388,4.7828
85,31.2090,46.6681
90,23.1619,23.3718
95,20.0747,8.9873
100,6.7747,4.3043
105,2.8120,10.3975
110,2.9449,2.6154
115,1.4750,4.0615
120,2.1736,7.0180
125,20.8465,41.4527
130,4.6943,17.5712
135,3.6717,6.2130
140,3.3783,43.3593
145,1.3783,38.5467
150,5.0441,8.2139
155,4.5086,5.2261
160,5.4460,7.1015
165,2.8632,3.8856
170,2.8111,4.7225
175,10.8924,9.6261
180,2.0561,11.2032
185,3.2743,3.9257
190,3.1535,10.8545
195,7.1892,5.6399
200,3.7512,7.1261
205,4.0300,9.2376
210,12.8658,10.8125
215,3.2691,7.1796
220,0.5572,4.4297
225,2.0160,2.9162
230,1.7416,6.8554
235,6.2587,11.7155
240,13.5065,13.1006
245,8.1061,10.0463
250,1.3735,5.2139
255,3.4479,33.3509
260,7.2420,21.0671
265,30.4200,41.8967
270,9.3796,18.7412
275,8.4222,14.8380
280,5.8621,19.2450
285,8.5234,17.5152
290,7.2014,12.3664
295,6.3927,10.3842
300,4.4980,4.7812
305,3.7464,5.5385
310,3.8792,10.1454
315,14.9243,17.1492
320,10.4559,9.8694
325,9.2219,14.6546
330,3.0779,8.8226
335,3.0187,5.1694
340,2.4191,3.1261
345,2.3154,3.4157
350,20.0822,3.7288
355,7.9062,18.2996
360,1.7843,12.1044
